pctr_gpu_clock	1	0	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/pctr_gpu_clock.log
payload	0	0	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/payload.log
scopy	0	2	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/scopy.log
sgemm_default	0	11	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/sgemm_default.log
sgemm_fast_default	0	6	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/sgemm_fast_default.log
sgemm_batched_small_default	0	4	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/sgemm_batched_small_default.log
sgemm_batched_small_batch8	0	3	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/sgemm_batched_small_batch8.log
sgemm_batched_small_size128_batch8	0	2	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/sgemm_batched_small_size128_batch8.log
igemm_default	0	33	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/igemm_default.log
igemm_int16_default	0	32	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/igemm_int16_default.log
minmax_default_core12_invalid	1	2	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/minmax_default_core12_invalid.log
minmax_core1	0	4	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/minmax_core1.log
minmax_core12_validlen	0	4	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/minmax_core12_validlen.log
pool2d_default_core12	0	2	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/pool2d_default_core12.log
pool2d_core1	0	2	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/pool2d_core1.log
tiledattention_default	0	2	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/tiledattention_default.log
tiledconv2d_default	0	2	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/tiledconv2d_default.log
tiledlenet5_default_core12	0	4	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/tiledlenet5_default_core12.log
tiledlenet5_core1	0	6	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/tiledlenet5_core1.log
tiledmlp_default	0	48	/home/yiannis/side/py-videocore7/experiment_logs/20260416-135103-full-rerun/tiledmlp_default.log
